Abington,51
Abington,41
Abington,92
Acushnet,0
Acushnet,0
Acushnet,0
Agawam,157
Agawam,158
Agawam,315
Amesbury,84
Amesbury,90
Amesbury,174
Amherst,0
Amherst,0
Amherst,0
Andover,223
Andover,239
Andover,462
Arlington,153
Arlington,142
Arlington,295
Ashland,98
Ashland,89
Ashland,187
Attleboro,175
Attleboro,231
Attleboro,406
Auburn,85
Auburn,72
Auburn,157
Avon,27
Avon,18
Avon,45
Barnstable,177
Barnstable,157
Barnstable,334
Bedford,98
Bedford,108
Bedford,206
Belchertown,97
Belchertown,70
Belchertown,167
Bellingham,62
Bellingham,82
Bellingham,144
Belmont,159
Belmont,131
Belmont,290
Berkley,0
Berkley,0
Berkley,0
Berlin,0
Berlin,0
Berlin,0
Beverly,156
Beverly,176
Beverly,332
Billerica,149
Billerica,131
Billerica,280
Boston,1966
Boston,1934
Boston,3900
Bourne,44
Bourne,50
Bourne,94
Boxford,0
Boxford,0
Boxford,0
Boylston,0
Boylston,0
Boylston,0
Braintree,205
Braintree,185
Braintree,390
Brewster,0
Brewster,0
Brewster,0
Brimfield,0
Brimfield,0
Brimfield,0
Brockton,597
Brockton,496
Brockton,1093
Brookfield,0
Brookfield,0
Brookfield,0
Brookline,255
Brookline,224
Brookline,479
Burlington,127
Burlington,128
Burlington,255
Cambridge,226
Cambridge,236
Cambridge,462
Canton,117
Canton,98
Canton,215
Carlisle,0
Carlisle,0
Carlisle,0
Carver,45
Carver,55
Carver,100
Chelmsford,182
Chelmsford,191
Chelmsford,373
Chelsea,163
Chelsea,129
Chelsea,292
Chicopee,279
Chicopee,334
Chicopee,613
Clarksburg,0
Clarksburg,0
Clarksburg,0
Clinton,39
Clinton,63
Clinton,102
Cohasset,49
Cohasset,44
Cohasset,93
Concord,0
Concord,0
Concord,0
Conway,0
Conway,0
Conway,0
Danvers,138
Danvers,122
Danvers,260
Dartmouth,139
Dartmouth,116
Dartmouth,255
Dedham,98
Dedham,93
Dedham,191
Deerfield,0
Deerfield,0
Deerfield,0
Douglas,62
Douglas,42
Douglas,104
Dover,0
Dover,0
Dover,0
Dracut,97
Dracut,90
Dracut,187
Duxbury,123
Duxbury,149
Duxbury,272
East Bridgewater,83
East Bridgewater,95
East Bridgewater,178
Eastham,0
Eastham,0
Eastham,0
Easthampton,58
Easthampton,45
Easthampton,103
East Longmeadow,119
East Longmeadow,99
East Longmeadow,218
Easton,155
Easton,149
Easton,304
Edgartown,0
Edgartown,0
Edgartown,0
Erving,0
Erving,0
Erving,0
Everett,223
Everett,268
Everett,491
Fairhaven,73
Fairhaven,74
Fairhaven,147
Fall River,262
Fall River,266
Fall River,528
Falmouth,99
Falmouth,135
Falmouth,234
Fitchburg,173
Fitchburg,176
Fitchburg,349
Florida,0
Florida,0
Florida,0
Foxborough,102
Foxborough,114
Foxborough,216
Framingham,250
Framingham,260
Framingham,510
Franklin,221
Franklin,183
Franklin,404
Gardner,56
Gardner,89
Gardner,145
Georgetown,49
Georgetown,44
Georgetown,93
Gloucester,100
Gloucester,83
Gloucester,183
Grafton,102
Grafton,86
Grafton,188
Granby,35
Granby,43
Granby,78
Greenfield,50
Greenfield,49
Greenfield,99
Hadley,26
Hadley,20
Hadley,46
Halifax,0
Halifax,0
Halifax,0
Hancock,0
Hancock,0
Hancock,0
Hanover,107
Hanover,91
Hanover,198
Harvard,53
Harvard,54
Harvard,107
Hatfield,15
Hatfield,14
Hatfield,29
Haverhill,196
Haverhill,264
Haverhill,460
Hingham,145
Hingham,151
Hingham,296
Holbrook,35
Holbrook,27
Holbrook,62
Holland,0
Holland,0
Holland,0
Holliston,100
Holliston,111
Holliston,211
Holyoke,160
Holyoke,162
Holyoke,322
Hopedale,41
Hopedale,48
Hopedale,89
Hopkinton,162
Hopkinton,120
Hopkinton,282
Hudson,87
Hudson,59
Hudson,146
Hull,38
Hull,61
Hull,99
Ipswich,83
Ipswich,75
Ipswich,158
Kingston,0
Kingston,0
Kingston,0
Lanesborough,0
Lanesborough,0
Lanesborough,0
Lawrence,407
Lawrence,431
Lawrence,838
Lee,33
Lee,29
Lee,62
Leicester,56
Leicester,50
Leicester,106
Lenox,37
Lenox,27
Lenox,64
Leominster,206
Leominster,209
Leominster,415
Leverett,0
Leverett,0
Leverett,0
Lexington,267
Lexington,254
Lexington,521
Lincoln,0
